user_id,prenom,nom,genre,email,telephone,type_compteur,numero_compteur,zone_id,region,commune,type_zone,date_inscription,conso_moyenne_jour,objectif_mensuel,actif
1,Cheikh,Dieng,M,cheikhdieng@gmail.com,221772632158,DPP,SN03598966,3,Dakar,Guédiawaye,urbain,2025-04-20,7.11,150,True
2,Binta,Diop,F,mcisse@orange.sn,221770048512,DPP,SN07265315,7,Thiès,Tivaouane,semi_urbain,2024-08-29,3.58,150,True
3,Aly,Gaye,M,agaye@hotmail.com,221760619497,PPP,SN09687724,9,Diourbel,Touba,urbain,2024-10-07,10.99,150,True
4,Daba,Sall,F,dsall@gmail.com,221751122144,DPP,SN19330177,19,Ziguinchor,Ziguinchor,urbain,2025-09-10,6.85,150,True
5,Baye,Toure,M,mcisse@orange.sn,221709264568,DPP,SN09194949,9,Diourbel,Touba,urbain,2025-08-27,5.24,200,True
6,Binta,Ndoye,F,binta.ndoye80@gmail.com,221755785419,DPP,SN09263001,9,Diourbel,Touba,urbain,2024-12-13,4.69,150,True
7,Maimouna,Mbaye,F,mcisse@orange.sn,221766540452,DPP,SN13445213,13,Kaolack,Kaolack,urbain,2024-12-28,4.32,150,True
8,Nogaye,Toure,F,nogayetoure@hotmail.com,221752329353,DPP,SN10467887,10,Diourbel,Mbacké,semi_urbain,2026-02-04,5.96,150,True
9,Ndeye,Samb,F,ndeyesamb@outlook.com,221704233562,DPP,SN11651325,11,Saint-Louis,Saint-Louis,urbain,2025-01-02,5.97,150,True
10,Youssouf,Dia,M,youssoufdia@hotmail.com,221750733657,PPP,SN05546676,5,Thiès,Thiès,urbain,2025-06-22,20.36,200,True
11,Boubacar,Sylla,M,mcisse@orange.sn,221756031058,DPP,SN11811114,11,Saint-Louis,Saint-Louis,urbain,2025-05-07,6.46,150,True
12,Amy,Sène,F,amy.sene54@yahoo.fr,221758395115,DPP,SN13274113,13,Kaolack,Kaolack,urbain,2026-01-09,4.12,150,True
13,Boubacar,Ndoye,M,mcisse@orange.sn,221702776913,DPP,SN09223802,9,Diourbel,Touba,urbain,2025-10-20,4.79,150,True
14,Demba,Seck,M,dembaseck@orange.sn,221703983747,DPP,SN18283495,18,Tambacounda,Tambacounda,urbain,2024-12-01,4.76,150,True
15,Cheikhou,Dieye,M,mcisse@orange.sn,221762656951,DPP,SN09843134,9,Diourbel,Touba,urbain,2025-01-25,5.65,150,True
16,Ablaye,Niang,M,ablaye.niang@yahoo.fr,221771347682,DPP,SN03818140,3,Dakar,Guédiawaye,urbain,2025-10-22,5.24,150,True
17,Samba,Diallo,M,sambadiallo@yahoo.fr,221778393706,DPP,SN20802753,20,Matam,Matam,semi_urbain,2024-04-05,3.28,150,True
18,Momar,Kébé,M,mkebe@orange.sn,221751501169,DPP,SN18976874,18,Tambacounda,Tambacounda,urbain,2025-08-01,6.69,300,True
19,Mbaye,Wade,M,mcisse@orange.sn,221788788426,DPP,SN13451761,13,Kaolack,Kaolack,urbain,2025-03-14,7.21,150,True
20,Serigne,Toure,M,serigne.toure@hotmail.com,221773110740,DPP,SN09926443,9,Diourbel,Touba,urbain,2025-08-29,7.01,150,True
21,Cheikhou,Niang,M,cheikhouniang@yahoo.fr,221782526919,DPP,SN15887056,15,Louga,Louga,urbain,2025-07-05,7.71,150,True
22,Maimouna,Toure,F,maimouna.toure@outlook.com,221786944985,DPP,SN09295187,9,Diourbel,Touba,urbain,2025-03-26,5.05,150,True
23,Rama,Thiam,F,rama.thiam71@outlook.com,221755601162,DPP,SN22516498,22,Kédougou,Kédougou,rural,2025-03-12,3.39,150,True
24,Ndeye,Traoré,F,mcisse@orange.sn,221788897528,PPP,SN09637002,9,Diourbel,Touba,urbain,2024-09-12,19.87,250,False
25,Alioune,Faye,M,afaye@orange.sn,221762456336,PPP,SN09774831,9,Diourbel,Touba,urbain,2025-05-02,21.24,150,True
26,Maimouna,Dia,F,maimouna.dia44@hotmail.com,221752437548,DPP,SN02666513,2,Dakar,Pikine,urbain,2025-02-05,5.68,150,True
27,Aly,Gueye,M,mcisse@orange.sn,221702748152,DPP,SN11225479,11,Saint-Louis,Saint-Louis,urbain,2024-06-07,5.64,300,True
28,Mbagnick,Samb,M,mbagnick.samb76@hotmail.com,221750697223,DPP,SN19201867,19,Ziguinchor,Ziguinchor,urbain,2025-03-16,6.26,150,True
29,Coumba,Dieye,F,coumbadieye@orange.sn,221753848208,DPP,SN16175787,16,Fatick,Fatick,semi_urbain,2025-03-02,3.05,200,True
30,Youssouf,Ndiaye,M,youssouf.ndiaye@outlook.com,221751146321,DPP,SN03524938,3,Dakar,Guédiawaye,urbain,2025-02-24,5.98,300,True
31,Aissatou,Diouf,F,aissatou.diouf@hotmail.com,221750521967,DPP,SN19985722,19,Ziguinchor,Ziguinchor,urbain,2024-11-04,6.04,150,True
32,Marème,Thiam,F,mareme.thiam61@orange.sn,221756615011,DPP,SN08971689,8,Diourbel,Diourbel,urbain,2024-05-27,7.51,300,True
33,Lamine,Kane,M,mcisse@orange.sn,221765831330,DPP,SN17499697,17,Kolda,Kolda,urbain,2025-04-13,6.2,150,True
34,Marème,Faye,F,mareme.faye20@gmail.com,221767296191,DPP,SN09618262,9,Diourbel,Touba,urbain,2025-10-27,5.03,150,False
35,Ndèye,Diallo,F,ndeye.diallo26@hotmail.com,221779238400,DPP,SN04780887,4,Dakar,Rufisque,urbain,2024-07-14,5.92,150,True
36,Maimouna,Wade,F,maimounawade@yahoo.fr,221789775287,PPP,SN03614372,3,Dakar,Guédiawaye,urbain,2025-11-28,11.66,150,True
